ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
CH0030170408	CHF	884	994	5699	6090	9134044.56922267	9813415.435139572	20120000.0	2325600.0
CH0030380734	CHF	220	341	16280	28989	109725.42997542997	99445.99675739073	2770000.0	37800.0
CH0030486770	CHF	201	289	3876	6304	1484842.62125903	1324405.1395939086	29150000.0	1128000.0
CH0033361673	CHF	207	321	14400	18544	84087.5	110993.85245901639	5965000.0	59242.42424242424
CH0038388911	CHF	59	43	3744	3238	102044.6047008547	87191.1673872761	808125.0	78433.73493975903
CH0038389992	CHF	91	312	13375	49565	42345.42056074766	43448.60284474932	124313.72549019608	18863.636363636364
CH0038863350	CHF	2080	1917	153389	160481	154446.16628311027	140876.2034134882	2322800.0	38640.0
CH0039821084	CHF	107	201	417	760	48700239.80815348	51517105.2631579	95750000.0	47875000.0
CH0042615283	CHF	179	195	9655	11277	250999.48213360953	236814.75569743727	6810000.0	147333.33333333334
CH0043238366	CHF	212	257	887142	1009547	19.65525248494604	21.229670337289893	83150.0	11.481429176669963
CH0100191136	CHF	4	9	152748	303295	0.14717050305077645	0.16881254224434955	0.14821822768842635	0.14821773393872972
CH0100837282	CHF	246	255	5384	5776	948384.1010401188	929787.0498614958	20600000.0	703448.275862069
CH0102484968	CHF	198	210	48762	25990	19447.479594766417	39622.93189688342	677285.7142857143	23715.0
CH0102659627	CHF	158	183	483989	531558	32.72171474971539	34.9545110787534	1232.9268292682927	17.337729954876778
CH0108503795	CHF	462	750	7945999	11109358	1.8816136271852035	2.7965990473976983	46.995994659546064	0.6146527879848742
CH0110240600	CHF	183	353	52495	88451	6010.896275835794	7315.304518886163	22784.810126582277	4405.940594059406
CH0111677362	CHF	333	300	12325	12498	225637.322515213	206561.04976796286	8480000.0	126176.4705882353
CH0118530366	CHF	199	414	15525	26900	66486.31239935588	82883.27137546468	2630000.0	12209.567198177676
CH0126639464	CHF		18		112		776071.4285714285		109318.18181818182
CH0126673539	CHF	288	281	19109	18532	115490.60652048772	122051.586445068	7805000.0	94397.59036144578
CH0126881561	CHF	1240	1423	59167	95758	162231.78460966417	118986.31968086217	3805000.0	21597.989949748742
CH0127480363	CHF	210	235	7022	7070	374423.2412418114	420267.3267326733	6215000.0	265319.1489361702
CH0130293662	CHF	295	363	19763	35009	156035.01492688357	114469.42214859037	11200000.0	80740.74074074074
CH0190891181	CHF	205	264	15822	18189	75142.83908481861	87209.85210841718	1946666.6666666667	52272.72727272727
CH0198251305	GBX	1564	1306	256046	202949	961081.0166923131	1018302.1350191428	17638888.888888888	438150.28901734104
CH0210483332	CHF	1455	1374	100714	101569	156148.74793971048	150888.21392353968	5337500.0	43785.31073446327
CH0212255803	CHF	114	285	8800	17083	76535.22727272728	105597.96288708072	157297.2972972973	58100.0
CH0225173167	CHF	322	417	29666	46376	61023.56232724331	55551.6862170088	5890000.0	34536.0824742268
CH0238627142	CHF	291	355	8201	10654	757797.8295329838	723657.7811150742	11100000.0	269620.253164557
CH0239229302	CHF	244	352	13801	13893	209120.35359756538	315746.7789534298	11810000.0	198135.59322033898
CH0239518779	CHF	276	157	43537	6214	60039.50662654753	261435.46829739297	1586666.6666666667	160000.0
CH0244017502	CHF	142	281	956	2006	14058577.40585774	13445463.609172482	97800000.0	11637500.0
CH0244767585	CHF	1077	1194	538159	609212	2929.459509178514	3017.770496969856	104785.71428571429	808.0
CH0256379097	CHF	124	353	24892	67351	10988.470191226097	12939.748481833974	2210000.0	7475.0
CH0273774791	CHF	113	202	919	1923	7687486.398258978	6667550.702028081	31550000.0	2351851.8518518517
CH0276534614	CHF	213	237	11962	11661	132521.31750543386	153251.00763227855	7490000.0	95256.41025641025
CH0276837694	CHF	235	260	78395	78878	3692.0466866509346	4507.239027358706	6119.266055045871	1953.147877013177
CH0311864901	CHF	281	286	5311	5958	1592280.1732253812	1459516.6163141993	30440000.0	977333.3333333334
CH0314029270	CHF	1	3	200	2142	246.5	72.92250233426704	246.5	28.932261768082665
CH0315966322	CHF	202	277	3851	4761	1341443.7808361466	1603371.1405166981	3707142.8571428573	1126086.956521739
CH0319416936	CHF	193	324	7702	16083	375277.84990911453	315492.756326556	5016666.666666667	195512.8205128205
CH0346177709	CHF	21	18	46000	85918	52.96739130434783	24.79107986684979	117.0	7.833333333333333
CH0360674466	CHF	291	396	27744	34637	64108.636101499425	73802.43670063805	6370000.0	62300.0
CH0360826991	CHF	308	352	15077	13201	523230.74882271007	712025.6041208999	8583333.333333334	311956.52173913043
CH0363463438	CHF	209	267	67967	77910	5442.7295599334975	6156.565267616481	599000.0	4415.0
CH0364749348	CHF	211	200	15060	14706	227898.73837981408	222984.49612403102	16335000.0	34735.16949152543
CH0371153492	CHF	215	289	16924	25563	70631.35192625856	68928.72511051128	2845000.0	34303.030303030304
CH0386200239	CHF	271	165	7191	5515	501946.8780419969	420924.75067996373	13900000.0	231666.66666666666
CH0406705126	CHF	146	212	7714	11755	178231.78636245787	172324.1173968524	9380000.0	151612.90322580645
CH0418792922	CHF	1078	1159	24585	28478	1289000.6101281268	1218408.2449610226	29300000.0	376883.1168831169
CH0432492467	CHF	1103	1194	77674	106598	95927.18284110512	78223.92540197753	867000.0	11847.672778561355
CH0435377954	CHF	273	326	85841	112307	6424.971750096108	5919.239228187023	2060000.0	4980.392156862745
CH0453226893	CHF	149	239	28247	31661	8525.861153396821	12773.285745870313	1670000.0	4783.861671469741
CH0466642201	CHF	408	378	27914	27440	146169.4848463137	146498.54227405248	10200000.0	101500.0
CH0468525222	CHF	137	155	5539	5018	250886.44159595596	339079.3144679155	3640000.0	205283.01886792452
CH0496451508	CHF	329	268	121864	86734	2830.0646622464387	3548.781331427122	542000.0	1529.4117647058824
CH0528751586	CHF	180	282	9043	12279	157694.34922039145	189634.33504357032	7880000.0	108493.1506849315
CH0530235594	CHF	242	197	19679	16486	51162.9147822552	50561.99199320636	4170000.0	30729.92700729927
CH0531751755	CHF	261	310	25842	69737	75241.08041173284	34458.32198115778	7460000.0	7947.454844006568
CH0582581713	CHF	157	142	4628	5629	692221.2618841833	541375.022206431	20400000.0	315068.4931506849
CH1101098163	CHF	257	292	4150	4435	2869903.6144578313	3243100.3382187146	47900000.0	2357500.0
DE0002635273	EUR	20	24	9180	11016	3757.4074074074074	3870.1888162672476	3837.037037037037	3805.664488017429
DE0002635307	EUR		34		408		383333.3333333333		383333.3333333333
DE0005140008	EUR	34	4	1564	45	17478.260869565216	81751.11111111111	17478.260869565216	70738.46153846153
DE0005190003	EUR		3		15		1459200.0		1452600.0
DE0005190037	EUR	34		408		325000.0		325000.0	
DE0005408116	EUR		34		238		454857.14285714284		454857.14285714284
DE0005557508	EUR	9		54		255137.03703703705		256233.33333333334	
DE0005773303	EUR	1		5		1004800.0		1004800.0	
DE0005785604	EUR	15		165		254545.45454545456		254545.45454545456	
DE0005785802	EUR		66		1320		335500.0		248214.2857142857
DE0005909006	EUR		68		782		327826.0869565217		260000.0
DE0005933923	EUR		10		330		770530.303030303		770454.5454545454
DE0005933931	EUR	71	35	23494	23814	32868.39192985443	16503.401360544216	2240000.0	15871.42857142857
DE0005933972	EUR	34	36	272	1350	330000.0	89760.0	330000.0	67241.37931034483
DE0006048408	EUR	1		5		1237000.0		1237000.0	
DE0006048432	EUR	35	34	2009	612	101239.42259830762	472222.22222222225	828571.4285714285	472222.22222222225
DE0006062144	EUR	7		35		844000.0		844000.0	
DE0006202005	EUR		33		198		716666.6666666666		716666.6666666666
DE0006231004	EUR	2	34	10	1938	563250.0	61964.912280701756	564300.0	61964.912280701756
DE0007037129	EUR	1		5		719200.0		719200.0	
DE0007100000	EUR	35	33	969	4026	182433.43653250774	63114.75409836065	1191600.0	63114.75409836065
DE0007164600	EUR	36	136	282	9962	1172819.1489361702	170409.55631399318	1967800.0	70175.43859649122
DE0007236101	EUR		34		2176		250000.0		250000.0
DE0007297004	EUR	34		2618		12337.662337662337		12337.662337662337	
DE0007500001	EUR	34	84	24072	28970	1115.819209039548	3377.7010700724886	1115.819209039548	1671.0353866317168
DE0007664039	EUR	39	66	354	5742	1536440.6779661018	221264.36781609195	1737500.0	151515.15151515152
DE0008232125	EUR	32	35	6608	6236	2719.128329297821	3939.5926876202693	35750.0	3776.595744680851
DE0008402215	EUR		35		1845		390579.945799458		130090.09009009009
DE0008404005	EUR	34	34	170	170	3600000.0	4860000.0	3600000.0	4860000.0
DE0008430026	EUR		34		986		993103.448275862		993103.448275862
DE000A0DJ6J9	EUR	34		16048		5190.677966101695		5190.677966101695	
DE000A0F5UF5	EUR	34		680		564000.0		564000.0	
