ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
CH0100191136	CHF	4		152748		0.14717050305077645		0.14821822768842635	
CH0100837282	CHF	246		5384		948384.1010401188		20600000.0	
CH0102484968	CHF	198		48762		19447.479594766417		677285.7142857143	
CH0102659627	CHF	158		483989		32.72171474971539		1232.9268292682927	
CH0108503795	CHF	462		7945999		1.8816136271852035		46.995994659546064	
CH0110240600	CHF	183		52495		6010.896275835794		22784.810126582277	
CH0111677362	CHF	333		12325		225637.322515213		8480000.0	
CH0118530366	CHF	199		15525		66486.31239935588		2630000.0	
CH0126673539	CHF	288		19109		115490.60652048772		7805000.0	
CH0126881561	CHF	1240		59167		162231.78460966417		3805000.0	
CH0127480363	CHF	210		7022		374423.2412418114		6215000.0	
CH0130293662	CHF	295		19763		156035.01492688357		11200000.0	
CH0190891181	CHF	205		15822		75142.83908481861		1946666.6666666667	
CH0198251305	GBX	1564		256046		961081.0166923131		17638888.888888888	
CH0210483332	CHF	1455		100714		156148.74793971048		5337500.0	
CH0212255803	CHF	114		8800		76535.22727272728		157297.2972972973	
CH0225173167	CHF	322		29666		61023.56232724331		5890000.0	
CH0238627142	CHF	291		8201		757797.8295329838		11100000.0	
CH0239229302	CHF	244		13801		209120.35359756538		11810000.0	
CH0239518779	CHF	276		43537		60039.50662654753		1586666.6666666667	
CH0244017502	CHF	142		956		14058577.40585774		97800000.0	
CH0244767585	CHF	1077		538159		2929.459509178514		104785.71428571429	
CH0256379097	CHF	124		24892		10988.470191226097		2210000.0	
CH0273774791	CHF	113		919		7687486.398258978		31550000.0	
CH0276534614	CHF	213		11962		132521.31750543386		7490000.0	
CH0276837694	CHF	235		78395		3692.0466866509346		6119.266055045871	
CH0311864901	CHF	281		5311		1592280.1732253812		30440000.0	
CH0314029270	CHF	1		200		246.5		246.5	
CH0315966322	CHF	202		3851		1341443.7808361466		3707142.8571428573	
CH0319416936	CHF	193		7702		375277.84990911453		5016666.666666667	
CH0346177709	CHF	21		46000		52.96739130434783		117.0	
CH0360674466	CHF	291		27744		64108.636101499425		6370000.0	
CH0360826991	CHF	308		15077		523230.74882271007		8583333.333333334	
CH0363463438	CHF	209		67967		5442.7295599334975		599000.0	
CH0364749348	CHF	211		15060		227898.73837981408		16335000.0	
CH0371153492	CHF	215		16924		70631.35192625856		2845000.0	
CH0386200239	CHF	271		7191		501946.8780419969		13900000.0	
CH0406705126	CHF	146		7714		178231.78636245787		9380000.0	
CH0418792922	CHF	1078		24585		1289000.6101281268		29300000.0	
CH0432492467	CHF	1103		77674		95927.18284110512		867000.0	
CH0435377954	CHF	273		85841		6424.971750096108		2060000.0	
CH0453226893	CHF	149		28247		8525.861153396821		1670000.0	
CH0466642201	CHF	408		27914		146169.4848463137		10200000.0	
CH0468525222	CHF	137		5539		250886.44159595596		3640000.0	
CH0496451508	CHF	329		121864		2830.0646622464387		542000.0	
CH0528751586	CHF	180		9043		157694.34922039145		7880000.0	
CH0530235594	CHF	242		19679		51162.9147822552		4170000.0	
CH0531751755	CHF	261		25842		75241.08041173284		7460000.0	
CH0582581713	CHF	157		4628		692221.2618841833		20400000.0	
CH1101098163	CHF	257		4150		2869903.6144578313		47900000.0	
DE0002635273	EUR	20		9180		3757.4074074074074		3837.037037037037	
DE0005140008	EUR	34		1564		17478.260869565216		17478.260869565216	
DE0005190037	EUR	34		408		325000.0		325000.0	
DE0005557508	EUR	9		54		255137.03703703705		256233.33333333334	
DE0005773303	EUR	1		5		1004800.0		1004800.0	
DE0005785604	EUR	15		165		254545.45454545456		254545.45454545456	
DE0005933931	EUR	71		23494		32868.39192985443		2240000.0	
DE0005933972	EUR	34		272		330000.0		330000.0	
DE0006048408	EUR	1		5		1237000.0		1237000.0	
DE0006048432	EUR	35		2009		101239.42259830762		828571.4285714285	
DE0006062144	EUR	7		35		844000.0		844000.0	
DE0006231004	EUR	2		10		563250.0		564300.0	
DE0007037129	EUR	1		5		719200.0		719200.0	
DE0007100000	EUR	35		969		182433.43653250774		1191600.0	
DE0007164600	EUR	36		282		1172819.1489361702		1967800.0	
DE0007297004	EUR	34		2618		12337.662337662337		12337.662337662337	
DE0007500001	EUR	34		24072		1115.819209039548		1115.819209039548	
DE0007664039	EUR	39		354		1536440.6779661018		1737500.0	
DE0008232125	EUR	32		6608		2719.128329297821		35750.0	
DE0008404005	EUR	34		170		3600000.0		3600000.0	
DE000A0DJ6J9	EUR	34		16048		5190.677966101695		5190.677966101695	
DE000A0F5UF5	EUR	34		680		564000.0		564000.0	
DE000A0LD2U1	EUR	2		12		260583.33333333334		260666.66666666666	
DE000A1EWWW0	EUR	27		675		760000.0		760000.0	
DE000BASF111	EUR	77		12047		32646.63401676766		1052200.0	
DE000BAY0017	EUR	69		774		380147.2868217054		1027800.0	
DE000CBK1001	EUR	2		30		40000.0		40000.0	
DE000ENAG999	EUR	72		1974		36695.23809523809		123022.22222222222	
DE000ENER6Y0	EUR	69		9083		11855.664428052405		389000.0	
DE000ETFL011	EUR	33		22838		17177.51116560119		27091.32420091324	
DE000TUAG000	EUR	6		2935		480.71550255536624		5897.5	
DE000TUAG000	GBX	195		353519		10812.629589923032		19500000.0	
DE000WAF3001	EUR	34		272		1125000.0		1125000.0	
DK0010181759	DKK	31		6913		358744.3946188341		358744.3946188341	
DK0010244425	DKK	1		2		1043000000.0		1043000000.0	
DK0010274414	DKK	26		915		288087.4316939891		1464285.7142857143	
DK0060252690	DKK	2		10		11958000.0		11980000.0	
DK0060542181	DKK	1		7		1480000.0		1480000.0	
DK0060636678	DKK	7		35		2892142.8571428573		2897000.0	
DK0060738599	DKK	11		55		5419272.7272727275		5462000.0	
DK0060946788	DKK	3		21		1636428.5714285714		1649285.7142857143	
DK0061539921	DKK	6		30		3934333.3333333335		3954000.0	
ES0105027009	EUR	3		26		178923.07692307694		193500.0	
ES0105630315	EUR	1		5		415600.0		415600.0	
ES0113211835	EUR	3		72		20484.027777777777		20543.75	
